segment,cod,asset,type,part,partAcum,theoricalQty
,RRRP3,3R PETROLEUM,ON      NM,"0,379",,235.661.666
,ALSO3,ALIANSCSONAE,ON      NM,"0,593",,532.616.595
,ALPA4,ALPARGATAS,PN      N1,"0,089",,208.965.950
,ABEV3,AMBEV S/A,ON,"2,951",,4.394.245.879
,ARZZ3,AREZZO CO,ON      NM,"0,222",,62.305.891
,ASAI3,ASSAI,ON      NM,"0,775",,1.349.645.897
,AZUL4,AZUL,PN      N2,"0,237",,327.593.725
,B3SA3,B3,ON      NM,"3,579",,5.694.552.584
,BBSE3,BBSEGURIDADE,ON      NM,"1,009",,671.750.768
,BBDC3,BRADESCO,ON  EJ  N1,"0,959",,1.500.728.902
,BBDC4,BRADESCO,PN  EJ  N1,"3,731",,5.146.576.868
,BRAP4,BRADESPAR,PN      N1,"0,287",,251.003.438
,BBAS3,BRASIL,ON      NM,"3,262",,1.420.949.112
,BRKM5,BRASKEM,PNA     N1,"0,287",,265.479.055
,BRFS3,BRF SA,ON      NM,"0,736",,1.677.525.446
,BPAC11,BTGP BANCO,UNT     N2,"1,799",,1.150.645.866
,CRFB3,CARREFOUR BR,ON      NM,"0,271",,531.372.207
,CCRO3,CCR SA,ON      NM,"0,610",,995.335.937
,CMIG4,CEMIG,PN      N1,"0,867",,1.437.415.777
,CIEL3,CIELO,ON      NM,"0,205",,1.095.462.329
,COGN3,COGNA ON,ON      NM,"0,265",,1.815.524.541
,CPLE6,COPEL,PNB     N2,"0,711",,1.679.335.290
,CSAN3,COSAN,ON      NM,"1,014",,1.168.097.881
,CPFE3,CPFL ENERGIA,ON      NM,"0,316",,187.732.538
,CMIN3,CSNMINERACAO,ON      N2,"0,234",,1.110.559.345
,CVCB3,CVC BRASIL,ON      NM,"0,056",,443.905.649
,CYRE3,CYRELA REALT,ON      NM,"0,293",,265.784.616
,DXCO3,DEXCO,ON      NM,"0,121",,303.055.637
,ELET3,ELETROBRAS,ON      N1,"3,393",,1.980.568.384
,ELET6,ELETROBRAS,PNB     N1,"0,507",,270.230.714
,EMBR3,EMBRAER,ON      NM,"0,704",,734.632.705
,ENGI11,ENERGISA,UNT     N2,"0,656",,290.435.910
,ENEV3,ENEVA,ON      NM,"0,921",,1.578.931.315
,EGIE3,ENGIE BRASIL,ON      NM,"0,521",,255.230.961
,EQTL3,EQUATORIAL,ON      NM,"1,692",,1.095.587.251
,EZTC3,EZTEC,ON      NM,"0,098",,91.514.307
,FLRY3,FLEURY,ON      NM,"0,246",,345.269.967
,GGBR4,GERDAU,PN      N1,"1,408",,1.118.525.506
,GOAU4,GERDAU MET,PN      N1,"0,383",,660.411.219
,GOLL4,GOL,PN      N2,"0,069",,198.184.909
,NTCO3,GRUPO NATURA,ON      NM,"0,625",,839.638.069
,SOMA3,GRUPO SOMA,ON      NM,"0,185",,496.029.967
,HAPV3,HAPVIDA,ON      NM,"0,927",,4.324.011.467
,HYPE3,HYPERA,ON      NM,"0,789",,409.490.388
,IGTI11,IGUATEMI S.A,UNT     N1,"0,224",,217.622.138
,IRBR3,IRBBRASIL RE,ON      NM,"0,166",,81.838.843
,ITSA4,ITAUSA,PN      N1,"2,350",,5.197.306.576
,ITUB4,ITAUUNIBANCO,PN  EJ  N1,"6,428",,4.801.593.832
,JBSS3,JBS,ON      NM,"1,017",,1.134.986.472
,KLBN11,KLABIN S/A,UNT     N2,"0,790",,706.747.385
,RENT3,LOCALIZA,ON      NM,"2,611",,846.394.333
,LWSA3,LOCAWEB,ON      NM,"0,150",,425.161.586
,LREN3,LOJAS RENNER,ON      NM,"0,772",,951.318.467
,MGLU3,MAGAZ LUIZA,ON      NM,"0,397",,2.867.627.068
,MRFG3,MARFRIG,ON      NM,"0,104",,292.587.273
,BEEF3,MINERVA,ON      NM,"0,108",,261.036.182
,MRVE3,MRV,ON      NM,"0,215",,376.187.582
,MULT3,MULTIPLAN,ON      N2,"0,326",,266.965.257
,PCAR3,P.ACUCAR-CBD,ON      NM,"0,038",,159.430.826
,PETR3,PETROBRAS,ON      N2,"4,467",,2.585.311.860
,PETR4,PETROBRAS,PN      N2,"7,214",,4.566.445.852
,RECV3,PETRORECSA,ON      NM,"0,314",,274.957.807
,PRIO3,PETRORIO,ON      NM,"1,815",,798.274.909
,PETZ3,PETZ,ON      NM,"0,092",,329.077.188
,RADL3,RAIADROGASIL,ON      NM,"1,684",,1.263.596.819
,RAIZ4,RAIZEN,PN      N2,"0,210",,1.193.671.389
,RDOR3,REDE D OR,ON      NM,"1,632",,1.168.230.366
